date,Open,High,Low,Close,Volume,Currency,ticker
2023-03-28 00:00:00+00:00,1957.8,1977.1,1949.9,1973.5,88563,USD,Gold
2023-03-29 00:00:00+00:00,1975.4,1976.0,1959.5,1966.9,171701,USD,Gold
2023-03-30 00:00:00+00:00,1973.0,1993.3,1962.7,1988.5,162212,USD,Gold
2023-04-03 00:00:00+00:00,1982.6,1998.5,1956.9,1991.3,233301,USD,Gold
2023-04-04 00:00:00+00:00,1993.2,2034.2,1985.9,2029.4,197371,USD,Gold
2023-04-05 00:00:00+00:00,2030.0,2040.1,2018.7,2026.8,149129,USD,Gold
2023-04-10 00:00:00+00:00,2003.6,2011.2,1988.0,1994.8,126376,USD,Gold
2023-04-11 00:00:00+00:00,1996.7,2013.4,1996.2,2010.0,228494,USD,Gold
2023-04-12 00:00:00+00:00,2010.0,2034.1,2007.0,2015.7,198461,USD,Gold
2023-04-13 00:00:00+00:00,2019.5,2053.0,2019.5,2045.8,262825,USD,Gold
2023-04-17 00:00:00+00:00,2004.8,2018.2,1984.6,1997.6,164975,USD,Gold
2023-04-18 00:00:00+00:00,1997.1,2013.4,1994.5,2010.3,218808,USD,Gold
2023-04-19 00:00:00+00:00,2008.5,2009.7,1971.9,1998.0,162840,USD,Gold
2023-04-20 00:00:00+00:00,1996.5,2014.5,1994.2,2009.8,210502,USD,Gold
2023-04-24 00:00:00+00:00,1983.2,1991.0,1975.3,1990.6,222551,USD,Gold
2023-04-25 00:00:00+00:00,1995.4,2005.0,1979.3,1995.1,241399,USD,Gold
2023-04-26 00:00:00+00:00,2000.0,2009.8,1986.6,1986.9,203898,USD,Gold
2023-04-27 00:00:00+00:00,1999.8,2013.3,1982.0,1999.0,172445,USD,Gold
2023-05-01 00:00:00+00:00,2000.2,2015.4,1985.7,1992.2,245637,USD,Gold
2023-05-02 00:00:00+00:00,1990.5,2028.8,1986.9,2023.3,229674,USD,Gold
2023-05-03 00:00:00+00:00,2026.4,2050.0,2016.0,2037.0,311003,USD,Gold
2023-05-04 00:00:00+00:00,2054.7,2085.4,2038.5,2055.7,283299,USD,Gold
2023-05-08 00:00:00+00:00,2024.6,2037.1,2022.0,2033.2,199701,USD,Gold
2023-05-09 00:00:00+00:00,2028.4,2045.1,2026.4,2042.9,260807,USD,Gold
2023-05-10 00:00:00+00:00,2041.6,2056.0,2028.3,2037.1,296976,USD,Gold
2023-05-11 00:00:00+00:00,2036.8,2047.6,2016.7,2020.5,220500,USD,Gold
2023-05-15 00:00:00+00:00,2013.4,2027.5,2011.2,2022.7,229938,USD,Gold
2023-05-16 00:00:00+00:00,2021.3,2022.7,1989.1,1993.0,206552,USD,Gold
2023-05-17 00:00:00+00:00,1993.0,1997.0,1978.1,1984.9,227733,USD,Gold
2023-05-18 00:00:00+00:00,1985.6,1988.8,1954.4,1959.8,234604,USD,Gold
2023-05-22 00:00:00+00:00,1979.4,1984.8,1970.7,1977.2,214358,USD,Gold
2023-05-23 00:00:00+00:00,1973.9,1980.0,1955.8,1974.5,229885,USD,Gold
2023-05-24 00:00:00+00:00,1977.3,1987.9,1958.4,1964.6,253875,USD,Gold
2023-05-25 00:00:00+00:00,1959.5,1965.4,1939.0,1943.7,166036,USD,Gold
2023-05-30 00:00:00+00:00,1951.6,1972.4,1941.2,1968.1,207753,USD,Gold
2023-05-31 00:00:00+00:00,1968.4,1984.0,1963.2,1973.1,176911,USD,Gold
2023-06-01 00:00:00+00:00,1972.3,1991.4,1961.3,1986.5,209694,USD,Gold
2023-06-05 00:00:00+00:00,1954.4,1970.8,1945.0,1965.7,135995,USD,Gold
2023-06-06 00:00:00+00:00,1968.9,1973.6,1962.0,1972.9,189529,USD,Gold
2023-06-07 00:00:00+00:00,1971.2,1977.5,1947.1,1949.9,191843,USD,Gold
2023-06-08 00:00:00+00:00,1948.6,1976.0,1948.1,1969.9,130408,USD,Gold
2023-06-12 00:00:00+00:00,1966.1,1971.5,1954.8,1960.9,198397,USD,Gold
2023-06-13 00:00:00+00:00,1962.9,1976.0,1944.5,1949.9,199710,USD,Gold
2023-06-14 00:00:00+00:00,1948.6,1964.9,1944.3,1960.1,266353,USD,Gold
2023-06-15 00:00:00+00:00,1948.8,1963.7,1929.6,1961.8,160514,USD,Gold
2023-06-20 00:00:00+00:00,1961.7,1961.7,1932.4,1938.9,182021,USD,Gold
2023-06-21 00:00:00+00:00,1939.5,1940.7,1922.2,1936.1,171779,USD,Gold
2023-06-22 00:00:00+00:00,1935.9,1935.9,1914.0,1915.0,186861,USD,Gold
2023-06-26 00:00:00+00:00,1926.4,1934.5,1923.0,1925.1,180436,USD,Gold
2023-06-27 00:00:00+00:00,1927.4,1930.2,1912.3,1915.1,162493,USD,Gold
2023-06-28 00:00:00+00:00,1915.2,1916.7,1903.6,1913.4,205252,USD,Gold
2023-06-29 00:00:00+00:00,1916.5,1921.3,1900.6,1917.9,180688,USD,Gold
2023-07-03 00:00:00+00:00,1927.8,1939.9,1917.7,1929.5,245932,USD,Gold
2023-07-05 00:00:00+00:00,1929.1,1942.9,1922.1,1927.1,231513,USD,Gold
2023-07-06 00:00:00+00:00,1922.4,1934.0,1908.5,1915.4,214272,USD,Gold
2023-07-10 00:00:00+00:00,1930.7,1933.7,1918.0,1931.0,189372,USD,Gold
2023-07-11 00:00:00+00:00,1930.8,1944.5,1929.8,1937.1,270869,USD,Gold
2023-07-12 00:00:00+00:00,1938.0,1965.1,1937.5,1961.7,241215,USD,Gold
2023-07-13 00:00:00+00:00,1962.7,1968.5,1956.6,1963.8,209306,USD,Gold
2023-07-17 00:00:00+00:00,1958.6,1963.6,1949.0,1956.4,264086,USD,Gold
2023-07-18 00:00:00+00:00,1958.3,1988.3,1958.1,1980.8,159409,USD,Gold
2023-07-19 00:00:00+00:00,1982.5,1984.6,1973.3,1980.8,189926,USD,Gold
2023-07-20 00:00:00+00:00,1980.0,1989.8,1967.7,1970.9,156540,USD,Gold
2023-07-24 00:00:00+00:00,1963.6,1969.8,1955.3,1962.2,188848,USD,Gold
2023-07-25 00:00:00+00:00,1957.0,1967.1,1951.6,1963.7,208106,USD,Gold
2023-07-26 00:00:00+00:00,1966.3,1979.9,1963.2,1970.1,194253,USD,Gold
2023-07-27 00:00:00+00:00,1973.3,1982.6,1941.7,1945.7,159597,USD,Gold
2023-07-31 00:00:00+00:00,1967.9,1981.1,1958.0,1979.6,167756,USD,Gold
2023-08-01 00:00:00+00:00,1974.3,1974.4,1949.6,1949.7,169658,USD,Gold
2023-08-02 00:00:00+00:00,1957.1,1962.9,1940.5,1946.0,141345,USD,Gold
2023-08-03 00:00:00+00:00,1943.2,1945.5,1936.6,1939.9,156416,USD,Gold
2023-08-07 00:00:00+00:00,1948.5,1952.0,1937.0,1940.7,142336,USD,Gold
2023-08-08 00:00:00+00:00,1941.8,1943.4,1928.2,1930.8,139259,USD,Gold
2023-08-09 00:00:00+00:00,1930.2,1936.3,1919.8,1921.9,168264,USD,Gold
2023-08-10 00:00:00+00:00,1920.6,1934.4,1915.9,1920.1,122320,USD,Gold
2023-08-14 00:00:00+00:00,1914.9,1918.6,1906.0,1915.6,167153,USD,Gold
2023-08-15 00:00:00+00:00,1911.0,1915.0,1899.7,1906.9,128612,USD,Gold
2023-08-16 00:00:00+00:00,1905.1,1909.6,1894.1,1900.2,152329,USD,Gold
2023-08-17 00:00:00+00:00,1894.6,1904.6,1886.6,1887.2,114737,USD,Gold
2023-08-21 00:00:00+00:00,1890.6,1899.9,1886.3,1895.7,131088,USD,Gold
2023-08-22 00:00:00+00:00,1896.3,1905.7,1890.8,1898.6,170040,USD,Gold
2023-08-23 00:00:00+00:00,1899.2,1921.7,1899.2,1920.5,137393,USD,Gold
2023-08-24 00:00:00+00:00,1918.7,1923.0,1911.6,1919.1,166988,USD,Gold
2023-08-28 00:00:00+00:00,1915.2,1926.0,1912.3,1918.5,174220,USD,Gold
2023-08-29 00:00:00+00:00,1920.3,1937.0,1914.4,1936.4,142380,USD,Gold
2023-08-30 00:00:00+00:00,1947.8,1958.0,1943.8,1954.0,133712,USD,Gold
2023-08-31 00:00:00+00:00,1951.8,1955.6,1946.6,1947.0,160725,USD,Gold
2023-09-05 00:00:00+00:00,1947.9,1954.1,1932.4,1934.3,148775,USD,Gold
2023-09-06 00:00:00+00:00,1933.4,1936.1,1921.6,1925.8,117168,USD,Gold
2023-09-07 00:00:00+00:00,1923.2,1929.0,1922.0,1924.1,138694,USD,Gold
2023-09-11 00:00:00+00:00,1925.6,1936.5,1921.8,1929.2,161993,USD,Gold
